Testing ... solver = bpxpcg, smoother = 7, preconditioner = 2
Testing ... solver = bpxpcg, smoother = 7, preconditioner = 3
Testing ... solver = bpxpcg, smoother = 8, preconditioner = 0
Testing ... solver = bpxpcg, smoother = 8, preconditioner = 1
Testing ... solver = bpxpcg, smoother = 8, preconditioner = 2
Testing ... solver = bpxpcg, smoother = 8, preconditioner = 3
Testing ... solver = bpxpcg, smoother = 9, preconditioner = 0
Testing ... solver = bpxpcg, smoother = 9, preconditioner = 1
Testing ... solver = bpxpcg, smoother = 9, preconditioner = 2
Testing ... solver = bpxpcg, smoother = 9, preconditioner = 3
Testing ... solver = bpxpcg, smoother = 10, preconditioner = 0
Testing ... solver = bpxpcg, smoother = 10, preconditioner = 1
Testing ... solver = bpxpcg, smoother = 10, preconditioner = 2
Testing ... solver = bpxpcg, smoother = 10, preconditioner = 3
Testing ... solver = bpxpcg, smoother = 11, preconditioner = 0
Testing ... solver = bpxpcg, smoother = 11, preconditioner = 1
Testing ... solver = bpxpcg, smoother = 11, preconditioner = 2
Testing ... solver = bpxpcg, smoother = 11, preconditioner = 3
Testing ... solver = bpxpcg, smoother = 12, preconditioner = 0
Testing ... solver = bpxpcg, smoother = 12, preconditioner = 1
Testing ... solver = bpxpcg, smoother = 12, preconditioner = 2
Testing ... solver = bpxpcg, smoother = 12, preconditioner = 3
